V1	V2
100534491	GO:1904659,GO:0005355,GO:0055085,GO:0022857,GO:0016021,GO:0016020
100534493	GO:0007165,GO:0005576,GO:0008083,GO:0009952
100534494	GO:0046872,GO:0016787,GO:0016798,GO:0005975,GO:0008152,GO:0003824,GO:0043169,GO:0004556,GO:0103025
100534495	GO:0005882
100534496	
100534498	GO:0043565,GO:0003700,GO:0006355,GO:0008270,GO:0005496,GO:0003707,GO:0030728,GO:0042700
100534499	GO:0046872,GO:0008270,GO:0006355,GO:0005634,GO:0003677,GO:0003700,GO:0043565,GO:0003707,GO:0043401
100534500	GO:0005179,GO:0007165,GO:0005576
100534501	GO:0005179,GO:0007165,GO:0005576,GO:0001556,GO:0007283,GO:0007530,GO:0008585,GO:0030728
100534503	GO:0005576,GO:0005179
100534504	GO:0005576,GO:0046872,GO:0016020,GO:0016787,GO:0005886,GO:0006629,GO:0052689,GO:0005615,GO:0016042,GO:0004465,GO:0008201,GO:0019433,GO:0061959,GO:0034361,GO:0042627,GO:0004806,GO:0005515
100534505	GO:0016020,GO:0016021,GO:0016491,GO:0055114,GO:0033555,GO:0034650
100534506	GO:0060348,GO:0005576,GO:0005509,GO:0032571,GO:1900076
100534508	GO:0016020,GO:0016021,GO:0005886,GO:0004930,GO:0007186,GO:0016500,GO:0004968,GO:0097211
100534510	GO:0038023,GO:0004970,GO:0015276,GO:0006811,GO:0005216,GO:0016020,GO:0016021,GO:0005886,GO:0034220,GO:0030054,GO:0035235,GO:0045202,GO:0045211
100534511	GO:0046872,GO:0006355,GO:0005634,GO:0003677,GO:0003700,GO:0043565,GO:0006915,GO:0007368
100534512	GO:0016020,GO:0016021,GO:0005886,GO:0006811,GO:0030054,GO:0004888,GO:0005254,GO:0006821,GO:1902476,GO:0034707,GO:0045202,GO:0045211,GO:0005216,GO:0005230,GO:0034220,GO:0004890
100534513	GO:0016020,GO:0016021,GO:0005886,GO:0006811,GO:0030054,GO:0004888,GO:0005254,GO:0006821,GO:1902476,GO:0034707,GO:0045202,GO:0045211,GO:0005216,GO:0005230,GO:0034220
100534515	GO:0046872,GO:0008270,GO:0006355,GO:0005634,GO:0003677,GO:0003700,GO:0043565,GO:0003707,GO:0005496,GO:0030284,GO:0030520,GO:0008289,GO:0004879,GO:0071392,GO:1990239,GO:0043627
100534516	GO:0016787,GO:0004252,GO:0008233,GO:0008236,GO:0006508,GO:0005615
100534519	GO:0007186,GO:0004930,GO:0016021,GO:0016020
100534520	GO:0004252,GO:0006508,GO:0016787,GO:0008233,GO:0008236,GO:0005615
100534521	GO:0016020,GO:0016021,GO:0005886,GO:0004930,GO:0007165,GO:0007186,GO:0045202,GO:0004952,GO:0001963,GO:0007195
100534522	GO:0005576,GO:0005179,GO:0007165,GO:0043066,GO:0033555,GO:0050801
100534523	GO:0005576,GO:0005179,GO:0007165,GO:0043066,GO:0033555,GO:0050801
100534524	GO:0005737,GO:0055114,GO:0004303,GO:0006703,GO:0016229,GO:0008209
100534525	GO:0006355,GO:0005634,GO:0003700,GO:0046983,GO:0006357,GO:0000981,GO:0006351,GO:0007623,GO:0030318,GO:0043473
100534526	GO:0016491,GO:0055114,GO:0033555,GO:0047044,GO:0005783
100534527	GO:0005737,GO:0015031,GO:0006606,GO:0061608,GO:0005515
100534529	GO:0004252,GO:0006508,GO:0005615
100534530	GO:0004346,GO:0016020,GO:0016021,GO:0016787,GO:0005783,GO:0005789,GO:0016311,GO:0006094
100534531	GO:0000166,GO:0005524,GO:0003677,GO:0005634,GO:0000724,GO:0008094,GO:0006281,GO:0003697,GO:0000150,GO:0003690,GO:0006259,GO:0006310,GO:0006974,GO:1990426,GO:0051597,GO:0071425,GO:0046686
100534532	GO:0005525,GO:0003924,GO:0000166,GO:0005524,GO:0005634,GO:0003677,GO:0008094,GO:0006281,GO:0016887,GO:0000150,GO:0006259,GO:0007049,GO:0051321,GO:0003697,GO:0007131,GO:0003690
100534534	GO:0016020,GO:0016021,GO:0005515
100534539	GO:0003824,GO:0006096,GO:0016829,GO:0004332
100534540	GO:0004807,GO:0003824,GO:0006096,GO:0016853,GO:0006094,GO:0008929
100534541	GO:0016868,GO:0004619,GO:0006096,GO:0003824
100534548	GO:0009922,GO:0019368,GO:0030497,GO:0042759,GO:0042761,GO:0019367,GO:0005783,GO:0016021,GO:0016740,GO:0016020,GO:0006629,GO:0005789,GO:0102336,GO:0102337,GO:0102338,GO:0102756,GO:0006631,GO:0006633,GO:0006636,GO:0034626,GO:0035338,GO:0034625,GO:0042995,GO:0030425
100534549	GO:0005737,GO:0003735,GO:0006412,GO:0005840,GO:0005783,GO:0005829,GO:0002181,GO:0005791,GO:0022625,GO:0042788
100534550	GO:0070573,GO:0046872,GO:0016787,GO:0006508,GO:0016805,GO:0004180
100534551	
100534553	GO:0031966,GO:0006839,GO:0005739,GO:0017077,GO:0071398,GO:1990542
100534554	GO:0046872,GO:0006355,GO:0005634,GO:0003677,GO:0003700,GO:0043565,GO:0001756,GO:0007368,GO:0048747,GO:0060037
100534555	GO:0005634,GO:0043565,GO:0003700,GO:0006355,GO:0046872,GO:0003677
100534556	GO:0005496,GO:0003707,GO:0005634,GO:0004879,GO:0003677,GO:0043565,GO:0003700,GO:0006355,GO:0008270,GO:0030284,GO:0030520,GO:0071392,GO:1990239,GO:0043627,GO:0046872,GO:0008289
100534558	GO:0003810,GO:0018149,GO:0046872,GO:0018215
100534560	GO:0000166,GO:0005524,GO:0016020,GO:0016021,GO:0016887,GO:0042626,GO:0055085
100534561	GO:0046872,GO:0008270,GO:0006355,GO:0003677,GO:0005634,GO:0003700,GO:0043565,GO:0004879,GO:0030522,GO:0006351,GO:0021854,GO:0030325,GO:0031018,GO:0045944
100534562	GO:0005576,GO:0005179
100534566	GO:0055114,GO:0005507,GO:0016491,GO:0009617,GO:0007599,GO:0006826,GO:0006879,GO:0005615,GO:0004322
100534567	GO:0016020,GO:0016021,GO:0005886,GO:0004930,GO:0007165,GO:0007186,GO:0030054,GO:0005887,GO:0045202,GO:0045211,GO:0016907,GO:0007213
100534568	GO:0016491,GO:0055114,GO:0003854,GO:0016616,GO:0006694
100534569	GO:0005840,GO:0042254
100534570	GO:0006355,GO:0003677,GO:0005634,GO:0003700,GO:0007275,GO:0006357,GO:0000981
100534571	GO:0004800,GO:0016020,GO:0016021,GO:0016491,GO:0055114,GO:0005783,GO:0005789,GO:0042446,GO:0061074
100534572	GO:0005515,GO:0030178,GO:0060027,GO:0005737,GO:0001525,GO:0032880,GO:0051302,GO:2000114,GO:2000543
100534574	GO:0005179,GO:0007165,GO:0005576,GO:0007275,GO:0007420,GO:0043010
100534575	GO:0006355,GO:0003677,GO:0005634,GO:0046983,GO:0007517,GO:0007275,GO:0030154,GO:0014823,GO:0007519,GO:0014835,GO:0014844,GO:1901741
100534576	GO:0005179,GO:0007165,GO:0005576
100534577	GO:0038023,GO:0016020,GO:0016021,GO:0005886,GO:0006811,GO:0034220,GO:0030054,GO:0004970,GO:0015276,GO:0035235,GO:0045202,GO:0045211,GO:0005216
100534578	GO:0016020,GO:0016021,GO:0006955,GO:0005164,GO:0001889,GO:0005515
100534580	GO:0000079,GO:0019901,GO:0010389,GO:0051301
100534581	GO:0016491,GO:0055114
100534582	GO:0010181,GO:0001889,GO:0060218,GO:0007210,GO:0007263,GO:0021517,GO:0048668,GO:0050660,GO:0050661,GO:0005516,GO:0005515,GO:0016491,GO:0020037,GO:0055114,GO:0004517,GO:0006809,GO:0046872,GO:0042995,GO:0042383,GO:0043197
100534586	GO:0046872,GO:0016020,GO:0016021,GO:0004896,GO:0004925,GO:0038161,GO:0005515
100534587	GO:0007399,GO:0048701,GO:0014032,GO:0048899,GO:0048915,GO:0038023,GO:0004970,GO:0015276,GO:0006811,GO:0005216,GO:0016020,GO:0016021,GO:0005886,GO:0034220,GO:0030054,GO:0035235,GO:0045202,GO:0045211
100628562	GO:0045916,GO:0030193,GO:0005615,GO:0016021,GO:0010951,GO:0004867
100628563	GO:0046872,GO:0008270,GO:0006355,GO:0003677,GO:0005634,GO:0003700,GO:0043565,GO:0004879,GO:0030522,GO:0006351,GO:0021854,GO:0030325,GO:0031018,GO:0045944
100628564	GO:0042613,GO:0006955,GO:0019882,GO:0016020,GO:0016021
100628565	GO:0046983
100653403	GO:0008202,GO:0001654,GO:0042572,GO:0006805,GO:0016712,GO:0004497,GO:0016705,GO:0005506,GO:0020037,GO:0055114
100689704	,GO:0005737,GO:0005829
100689705	GO:0003677,GO:0005634,
100689706	GO:0046488,GO:0007340,GO:0004629,GO:0004435,GO:0006629,GO:0008081,GO:0035556,GO:0007165,GO:0005509,GO:0016787,GO:0005634,GO:0005737,GO:0005783,GO:0016042
100689707	GO:0003682,GO:0009416,GO:0009648,GO:0032922,GO:0042542,GO:0045475,GO:0009409,GO:0009411,GO:0016525,GO:0042753,GO:0043153,GO:0005515,GO:0005634,GO:0005737,GO:0048511
100689708	
100689710	GO:0016020,GO:0016021
100689711	,GO:0016020,GO:0016021
100689712	GO:0008146,GO:0016740
100689713	GO:0046872,GO:0050790,GO:0005737,GO:0005856,GO:0005085
100689717	GO:0003723,GO:0003676,GO:0005634,GO:0005737,GO:1990904,GO:0003729,GO:0003730,GO:0001889,GO:0007368,GO:0016477,GO:0031016,GO:0048565,GO:0048588,GO:0061014,GO:0061031,GO:0061113,GO:0070306,GO:1990402,GO:0045495
100689719	GO:0017121,GO:0017128
100689722	GO:0051015,GO:0016459,GO:0003774,GO:0005515,GO:0005524
100689723	GO:0016020,GO:0016021,GO:0005739,GO:0043065,GO:0005740,GO:0001947,GO:0045822
100689724	GO:0005515
100689725	GO:0003323,GO:0031018,GO:1990798
100689726	GO:0016787
100689728	GO:0007214,GO:0004890,GO:0006821,GO:0034220,GO:0004888,GO:0005230,GO:0006811,GO:0005216,GO:0016021,GO:0016020,GO:0005886,GO:0030054,GO:0005254,GO:1902476,GO:0034707,GO:0045202,GO:0045211
100689731	GO:0048786,GO:0005515
100689733	GO:0000922,GO:0005814
100689734	GO:0007507,GO:0007043
100689736	GO:0048011,GO:0032007
100689742	GO:0016787,GO:0005634,GO:0008270,GO:0047611,GO:0106047,GO:0106048,
100689743	GO:0004867,GO:0005576,GO:0010951,GO:0018298
100689744	GO:0000981,GO:0003677,GO:0006355
100689746	
100689747	GO:0005525,GO:0003924,GO:0007165,GO:0016020,GO:0000166,GO:0016787
100689748	GO:0005515,GO:0060215,GO:0060216,GO:0045638
100689749	GO:0004703,GO:0000166,GO:0004672,GO:0004674,GO:0005524,GO:0016301,GO:0016740,GO:0006468,GO:0016310,GO:0007165,GO:0001947,GO:0007368,GO:0005886,GO:1902017,GO:0035469,GO:0032007
100689750	GO:0003677,GO:0008270,GO:0046872
100689751	GO:0046872,GO:0005634,GO:0016787,GO:0003677,GO:0004518,GO:0090305,GO:0003824,GO:0004519,GO:0006289,GO:0003697,GO:0006281,GO:0006974,GO:0016788
100689752	GO:0005509
100689753	GO:0005042,GO:0038007,GO:0007165,GO:0005515,GO:0016021,GO:0016020,GO:0005886,GO:0007275
100689756	
100689757	GO:0004308,GO:0016798,GO:0008152,GO:0006629,GO:0016042,GO:0052794,GO:0052795,GO:0052796
100689759	GO:0030866,GO:0001558,GO:0008092,GO:0005911,GO:0007010,GO:0005198,GO:0005886,GO:0003779,GO:0005856
100689760	GO:0006874,GO:0006396,GO:0003676,GO:0003723
100689761	GO:0006749,GO:0005515
100689762	GO:0016567,GO:0006417,GO:0031463,GO:0006446,GO:0005515
100689763	GO:0016020,GO:0016021,GO:0005886,GO:0030054,GO:0005923,GO:0005198,GO:0035148,GO:0048546,GO:0005911
100689764	GO:0090481,GO:0015165,GO:0016020,GO:0016021,GO:0000139,GO:0008643
100689765	GO:0005634,GO:0005737,GO:0007275,GO:0001654,GO:0002088,GO:0043010,GO:0048048,GO:0048701,GO:0060041,GO:0002089,GO:0061303,GO:0061386
100689766	GO:0048382,GO:0060070,GO:0009950,GO:1900107,GO:0005085,GO:0035556,GO:0050790
100689767	GO:0045494
100689771	GO:0006915,GO:0042981,GO:0005515,GO:0005634,GO:0005730
100689773	GO:0044528
100689774	GO:0005515
100689779	GO:0000166,GO:0005525
100689780	GO:0016020,GO:0016021,GO:0005739,
100689783	GO:0005576,GO:0005515
100689784	GO:0016627,GO:0003824,GO:0051536,GO:0005737,GO:0016491,GO:0055114,GO:0000166,GO:0046872,GO:0051539,GO:0017113,GO:0019483
100689786	GO:0046983
100689787	
100689788	GO:0016491,GO:0055114
100689789	GO:0016020,GO:0016021,GO:0022857,GO:0055085,
100689790	GO:0003924,GO:0005525,GO:0032482,GO:0021952,GO:0071679
100689791	GO:0005515,GO:0016020,GO:0016021
100689792	GO:0006355
100689793	GO:0005247,GO:0006821,GO:0055085,GO:0016020,GO:0016021,GO:0006811,GO:1902476
100689794	GO:0007399,GO:0009952,GO:0007498,GO:0042664,GO:0008543,GO:0005104,GO:0008083,GO:0005576
100689795	GO:0016746,GO:0006099,GO:0004149,GO:0045252,GO:0016740,GO:0018215,GO:0033512
100689797	GO:0016020,GO:0016021,GO:0005886,GO:0022857,GO:0055085,GO:0006865
100689802	GO:0000062,GO:0003824
100689803	GO:0016491,GO:0055114,GO:0016616,GO:0051287
100689804	GO:0005515
100689806	GO:0008934,GO:0046855,GO:0046854,GO:0004674,GO:0005524,GO:0000166,GO:0016301,GO:0016740,GO:0046872,GO:0016310,GO:0016787,GO:0005737,GO:0006468,GO:0042254,GO:0106310,GO:0106311
100689807	
100689810	GO:0016740,GO:0016746,GO:0006048,GO:0008080,GO:0004343
100689812	GO:0016020,GO:0016021,GO:0004930,GO:0007186,GO:0004950,GO:0006935,GO:0070098
100689817	GO:0007186,GO:0004930,GO:0016021
100689819	,GO:0008289,GO:0006869
100689825	
100689826	GO:0016020,GO:0016021,GO:0005886
100689828	GO:0051015,GO:0007010,GO:0003779
100689829	GO:0005515
100689834	GO:0005576,GO:0007155,GO:0008201,GO:0005178,GO:0001756,GO:0001757,GO:0002042,GO:0002089,GO:0003007,GO:0003128,GO:0003146,GO:0003319,GO:0007507,GO:0021591,GO:0030325,GO:0035050,GO:0045198,GO:0048703,GO:0060956,GO:0070309,GO:0098609,GO:0005614,GO:0006953,GO:0005515,GO:0008360
100689836	
100689840	GO:0005737,GO:0005856,GO:0005815,GO:0005929,GO:0042995,GO:0030030,GO:0035721,GO:0030991,GO:0036064,GO:0005515,GO:0060271
100689841	GO:0005869
100689842	GO:0016020,GO:0005244,GO:0006811,GO:0034220,GO:0034765,GO:0005737,GO:0005254,GO:0006821,GO:1902476,GO:0034707,GO:0006749,GO:0005515
100689843	GO:0055085
100689844	GO:0016020,GO:0007409,GO:0007040,GO:0043524
100689845	
100689848	GO:0005576,GO:0019229,GO:0009953,GO:0051216,GO:0048703,GO:0060351,GO:1904888,GO:0060536,GO:0048899,GO:0014033,GO:0048901,GO:0060325,GO:0060349
100689849	GO:0016020,GO:0016021,GO:0005886,GO:0030054,GO:0005923,GO:0005198
100689850	GO:0008284,GO:0005007,GO:0008543,GO:0004713,GO:0006468,GO:0005524,GO:0004672,GO:0016021,GO:0000166,GO:0016301,GO:0016740,GO:0016310,GO:0016020,GO:0005886,GO:0018108,GO:0004714
100689853	GO:0016787,GO:0051301,GO:0004721,GO:0004722,GO:0005975,GO:0006470,GO:0030496,GO:0005977,GO:0000164,GO:0106306,GO:0106307,GO:0032154
100689857	
100689858	GO:0005763,GO:0005840,GO:0006412,GO:0003735
100689862	GO:0003677,GO:0005634,GO:0046982,GO:0000786,GO:0005694
100689863	GO:0016020,GO:0016021,GO:0005739,GO:0015031,GO:0001401,GO:0005741
100689864	GO:0008195,GO:0006644,GO:0016020,GO:0016021,GO:0016311
100689865	GO:0005515
100689866	GO:0003755
100689867	GO:0016740,GO:0046872,GO:0008270,GO:0005634,GO:0003677,GO:0008168,GO:0032259,GO:0006325,GO:0005515
100689868	,GO:0016020,GO:0016021,GO:0000381
100689869	
100689870	GO:0030014,GO:0004535,GO:0006351,GO:0003676
100689872	GO:0097198,GO:0046975,GO:0016740,GO:0006355,GO:0005634,GO:0008168,GO:0032259,GO:0005694,GO:0006325,GO:0018024,GO:0034968,GO:0005515
100689873	GO:0003677,GO:0005634,GO:0043044,GO:0016514
100689876	GO:0016020,GO:0016021,GO:0005886,GO:0006811,GO:0030054,GO:0004888,GO:0045202,GO:0045211,GO:0005216,GO:0005230,GO:0034220,GO:0060079,GO:0022848,GO:0060078
100689878	
100689879	
100689881	GO:0005507,GO:0005758,GO:0016531,GO:0046688,GO:0006825
100689885	,GO:0005856,GO:0003774,GO:0030286
100689887	GO:0071439,GO:0030132,GO:0030130,GO:0032051,GO:0005198,GO:0006886,GO:0016192,GO:0005515,GO:0016020,GO:0030659,GO:0031410,GO:0005905
100689888	GO:0015067,GO:0016740,GO:0016020,GO:0005739,GO:0005743,GO:0006601,GO:0015068
100689890	GO:0046872,GO:0016020,GO:0016021,GO:0008270,GO:0016787,GO:0008233,GO:0006508,GO:0008237,GO:0004222,GO:0031012,GO:0005887
100689891	GO:0000166,GO:0004672,GO:0005524,GO:0006468,GO:0016020,GO:0016021
100689893	GO:0005515,GO:0005634
100689894	GO:0035556,GO:0050790,GO:0005085,GO:0007264
